Date,LobNo,Samplers,Location,MBSwab,ExtraMBSwab,SwabNotes,VisAssess,ESD,Hlformalin,Glucose,Brix,MoltStatus,Weight,CL,TailL,BigTube,HP3TubePre,HP3Wet,HP3Dry,HPCalc,HPPer,Glycogen,DiffHraw,DiffSGraw,DiffLGraw,diffTGraw,Hdiff,Sdiff,Ldiff,tc1,tc2,tc3,tc4,tcaveraw,tcave1,Extranotes 
11-Jun,3,AB MG,ME,yes,no,,two small ESD lesions,1,x,NA,12.7,inter,360,77,120,0,1.0045,2.1922,1.5957,0.497768797,49.77687968,,59,108,33,141,29.5,54,16.5,100,108,108,86,201,502500000,hemolymph coagulated so HLS not accurate representation
11-Jun,4,MMR,ME,yes,yes,2nd MB swab on ND carapace and claw,,3,x,12.75,10.8,inter,310.5,77,122,0,0.9805,1.6698,1.2303,0.362396634,36.23966343,,48,110,42,152,24,55,21,75,135,53,69,166,415000000,
11-Jun,5,AB KJ,ME,yes,no,,all periopods intact right about to molt damage to right antenna (1/2 length of left) carapace pulling off,1,x,32.524,14.8,pre,479.5,79,131,0,1.0201,2.0109,1.5359,0.520589423,52.05894227,,35,141,24,165,17.5,70.5,12,72,86,82,39,279,697500000,
11-Jun,6,NT MG,ME,yes,no,,"scratches on tail, missing something on back periopod",0,x,38.51,11.2,inter,405.5,80,119,0,0.9919,2.2516,1.5881,0.473287291,47.32872906,,36,121,43,164,18,60.5,21.5,54,102,78,36,135,337500000,
11-Jun,7,NT MG,ME,yes,no,,damaged eye,0,x,15.35,9,inter,402.5,82,126,0,1.0031,1.7453,1.2275,0.302344382,30.23443816,,58,103,39,142,29,51.5,19.5,32,69,49,50,50,125000000,
11-Jun,8,NT MG,ME,yes,no,,,1,x,45.63,14.1,pre,356.5,75,115,13.4949,0.9896,2.412,15.2269,0.521934758,52.19347582,,45,126,29,155,22.5,63,14.5,87,92,72,82,166.5,416250000,
11-Jun,9,NT MG,ME,yes,yes,2nd MB on tail (ND) 1st ESD,"missing claw and ESD carapace and claw, milky hemolymph",1,x,24.986,6.5,soft,364.5,82,122,13.5397,1.0105,2.1862,14.9467,0.337245896,33.72458961,,52,115,33,148,26,57.5,16.5,180,121,86,60,223.5,558750000,
11-Jun,11,AB,ME,yes,no,,1 small ESD lesion,1,x,37.698,13.9,pre,455,82,131,13.423,0.9968,2.7024,15.2196,0.468925891,46.89258912,,40,111,49,160,20,55.5,24.5,102,105,71,121,299.25,748125000,
11-Jun,13,AS MG,ME,yes,no,,looks good except mild ESD,1,x,22.148,14.2,pre,345.6,78,119,13.4855,0.9966,2.3444,15.1835,0.520403621,52.04036207,,38,112,50,162,19,56,25,89,77,69,58,293,732500000,
11-Jun,15,AB,ME,yes,no,,all periopods and pleopods are intact,0,x,37.446,13.6,pre,473,83,126,0,0.9918,1.9097,1.4279,0.475106221,47.51062207,,43,128,29,157,21.5,64,14.5,82,135,82,90,389,972500000,
11-Jun,16,AS,ME,yes,no,,amputated antenna,1,x,44.648,13.8,pre,432,80,123,0,1.0201,2.1104,1.5988,0.530771347,53.07713473,,55,102,43,145,27.5,51,21.5,102,100,96,49,347,867500000,
11-Jun,17,NT MG,ME,yes,no,,bite mark on claw tips of claws missing,0,x,42.044,8.5,inter,477.5,82,125,0,1.0008,2.0526,1.5373,0.510077962,51.00779616,,44,120,36,156,22,60,18,63,45,26,37,85.5,213750000,
11-Jun,18,AS,ME,yes,yes,2nd MB on ESD tail (1st swab on not diseased carapace),"minimal ESD on carapace, disease on tail",2,x,23.37,10.4,inter,281.5,76,114,0,0.9819,1.9803,1.4708,0.489683494,48.96834936,,56,100,44,144,28,50,22,55,92,65,86,149,372500000,
11-Jun,19,MG,ME,yes,no,,missing L hind pleiopod,0,x,24.422,10.5,inter,436.5,82,126,13.5886,1.0243,2.6389,15.2524,0.396073331,39.60733309,,55,91,54,145,27.5,45.5,27,119,95,58,84,178,445000000,
11-Jun,20,KJ AB,ME,yes,no,,all periopods intact  damage to left antenna (1/2 length),1,x,42.804,15.8,pre,398,80,121,0,0.9863,1.9401,1.3874,0.420528413,42.05284127,,47,110,43,153,23.5,55,21.5,68,89,75,118,350,875000000,
